experiment,preset,spawn,path_type,noise_std,disturbance_mag,overshoot_pct,settling_time_s,steady_state_err_m,notes
E1,E1_set1,1,straight,0.0,0.0,7.683,19.99,0.04676,
E1,E1_set2,1,straight,0.0,0.0,20.016,19.99,0.13696,
E1,E1_set3,1,straight,0.0,0.0,22.564,19.99,0.0919,
E1,E1_set4,1,straight,0.0,0.0,40.698,19.99,0.07411,
E1,E1_set5,1,straight,0.0,0.0,49.215,19.99,0.30467,
E1,E4_PD,1,straight,0.0,0.0,0.0,10.68,0.00504,
E2,E1_set3,1,straight,0.0,0.0,24.904,19.99,0.06161,straight baseline
E2,E1_set3,1,curved,0.0,0.0,27.604,15.21,0.01508,S-curve path
E3,E1_set3,1,straight,0.0,0.0,22.564,19.99,0.0919,No Noise
E3,E1_set3,1,straight,0.05,0.02,22.918,19.99,0.08513,Low Noise
E3,E1_set3,1,straight,0.15,0.05,30.328,18.68,0.05021,Medium Noise
E3,E1_set3,1,straight,0.3,0.1,27.077,19.99,0.10539,High Noise
E4,E1_set3 (PID),1,curved,0.03,0.0,24.423,19.99,0.13768,with integral
E4,E4_PD,1,curved,0.03,0.0,6.735,12.28,0.03432,no integral
